2019/12/30 1/1
2019/10/21 129381/2990003
2019/09/08 458442/1953978
2019/09/07 1350427/4215180
2019/09/06 67350/3527856
2019/08/23 21979/446146
2019/08/09 56487/402371
2019/08/05 10352/283250
2019/08/03 153868/1373241
2019/08/02 105993/2710218
2019/08/01 56916/1460784
2019/07/31 171626/2176850
2019/07/30 72376/3171221
2019/07/29 472210/11690727
2019/07/28 33033/594837
2019/07/27 1588679/11606036
2019/07/26 255078/13159041
2019/07/25 275841/3965812
2019/07/24 1420/11044
2019/04/04 39901/1839907
2019/03/22 112356/1445508
2019/03/05 41/2040
